person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_main,occupation_sec1,coded_employer,occupation_sec1_grouped
http://www.wikidata.org/entity/Q3134441,Hervé Chabalier,1945,male,Langogne,POINT (3.855 44.726667),Western Europe,France,France,1971-1995,573,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q3980231,Taizo Ichinose,1947,male,Takeo,POINT (130.021472 33.19475),Eastern Asia,Japan,Asia-Pacific,1971-1995,661,war-photographer,other,enterprise,visual_media
http://www.wikidata.org/entity/Q12411282,Roni Daniel,1947,male,Baghdad,POINT (44.366111 33.315278),Western Asia,Iraq,Middle East,1971-1995,205,war-correspondent,other,enterprise,journalism_core
http://www.wikidata.org/entity/Q1064279,Charles Enderlin,1945,male,Paris,POINT (2.352222 48.856667),Western Europe,France,France,1971-1995,20,war-correspondent,other,television,journalism_core
http://www.wikidata.org/entity/Q1708879,"José-María Siles, Sr",1951,male,Almería,POINT (-2.463889 36.841667),Southern Europe,Spain,Spain,1971-1995,381,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q6860560,Milovan Drecun,1957,male,Vranje,POINT (21.897222 42.554167),Southern Europe,Serbia,Central/Eastern Europe,1971-1995,944,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q20859063,François Hauter,1951,male,Mulhouse,POINT (7.339167 47.748611),Western Europe,France,France,1971-1995,450,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q111469300,Russell Bonner Bentley,1960,male,Austin,POINT (-97.733333 30.3),Northern America,United States,United States Can.,1971-1995,74,war-correspondent,other,agency,journalism_core
http://www.wikidata.org/entity/Q6108333,Ricardo Medina,1958,male,Madrid,POINT (-3.703333 40.416944),Southern Europe,Spain,Spain,1971-1995,890,war-correspondent,other,enterprise,journalism_core
http://www.wikidata.org/entity/Q2851571,Annick Cojean,1957,female,Brest,POINT (-4.486945 48.39),Western Europe,France,France,1971-1995,536,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q6767269,Mark Danner,1958,male,Utica,POINT (-75.2325 43.100833),Northern America,United States,United States Can.,1971-1995,935,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q1274616,Chris Hedges,1956,male,St. Johnsbury,POINT (-72.011546 44.455239),Northern America,United States,United States Can.,1971-1995,232,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q2405682,Terry Lloyd,1952,male,Derby,POINT (-1.476667 52.921667),Northern Europe,United Kingdom,United Kingdom,1971-1995,496,war-correspondent,other,television,journalism_core
http://www.wikidata.org/entity/Q128799375,Kim Sengupta,1956,male,London,POINT (-0.1275 51.507222),Northern Europe,United Kingdom,United Kingdom,1971-1995,245,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q362337,Nick Ut,1951,male,Bình Quới,POINT (106.465387 10.508976),Southeastern Asia,Viet nam,Asia-Pacific,1971-1995,642,war-photographer,other,agency,journalism_core
http://www.wikidata.org/entity/Q8029120,Wojciech Jagielski,1960,male,Goworowo,POINT (21.55 52.9),Eastern Europe,Poland,Poland,1971-1995,1034,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q124158563,Joan Roura,1959,male,Badalona,POINT (2.233333 41.433333),Southern Europe,Spain,Spain,1971-1995,206,war-correspondent,other,enterprise,journalism_core
http://www.wikidata.org/entity/Q15127495,Ghislaine Dupont,1956,female,20th arrondissement of Paris,POINT (2.39905 48.865061),Western Europe,France,France,1971-1995,328,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q155106,Arturo Pérez-Reverte,1951,male,Cartagena,POINT (-0.984167 37.601944),Southern Europe,Spain,Spain,1971-1995,337,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q160375,Antonia Rados,1953,female,Klagenfurt am Wörthersee,POINT (14.3 46.616667),Western Europe,Austria,Central/Eastern Europe,1971-1995,354,war-correspondent,other,enterprise,journalism_core
