person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_main,occupation_sec1,coded_employer
http://www.wikidata.org/entity/Q1348644,Larry Burrows,1926,male,London,POINT (-0.1275 51.507222),Northern Europe,United Kingdom,United Kingdom,1971-1995,288,war-photographer,visual_media,press / corporate and general
http://www.wikidata.org/entity/Q3048455,Edward Behr,1926,male,16th arrondissement of Paris,POINT (2.276489 48.863611),Western Europe,France,France,1971-1995,587,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q3060014,Eugène Mannoni,1921,male,Bastia,POINT (9.449444 42.7),Western Europe,France,France,1946-1970,589,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q3275723,Madeleine Riffaud,1924,female,Arvillers,POINT (2.646945 49.745),Western Europe,France,France,1946-1970,628,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q117121102,Robert Schutz,1925,male,Orange,POINT (-74.2357 40.768),Northern America,United States,United States Can.,1946-1970,161,war-correspondent,visual_media,corporate and general
http://www.wikidata.org/entity/Q110647631,Thijmen van de Burgt,1926,male,Zeist,POINT (5.23333 52.09),Western Europe,Netherlands,Western Europe,1971-1995,63,war-photographer,other,other
http://www.wikidata.org/entity/Q104590752,Daniel Camus,1929,male,Reims,POINT (4.028611 49.265278),Western Europe,France,France,1971-1995,15,war-photographer,visual_media,press / corporate and general
http://www.wikidata.org/entity/Q3379683,Philippe Daudy,1925,male,16th arrondissement of Paris,POINT (2.276489 48.863611),Western Europe,France,France,1946-1970,647,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q213957,Bernard B. Fall,1926,male,Vienna,POINT (16.3725 48.208333),Western Europe,Austria,Central/Eastern Europe,1971-1995,486,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q1605885,Henri Huet,1927,male,Đà Lạt,POINT (108.4375 11.94),Southeastern Asia,Viet nam,Asia-Pacific,1971-1995,370,war-photographer,visual_media,corporate and general
