uriPer,labelPer,birthYear,gender,labelPlace,geometry,uriPlace,periods,FID,REGION,CNTR_ID,CNTR_NAME,NAME_ENGL,ISO3_CODE,coded_country,activityYear,periodsActivity
http://www.wikidata.org/entity/Q1324581,Wilfred Burchett,1911,male,Melbourne,POINT (144.963056 -37.814167),http://www.wikidata.org/entity/Q3141,1911-1920,2,Australia/New Zealand,AU,Australia,Australia,AUS,Asia-Pacific,1956,1946-1970
http://www.wikidata.org/entity/Q6688023,Louis R. Lowery,1916,male,Pittsburgh,POINT (-80 40.441667),http://www.wikidata.org/entity/Q1342,1911-1920,23,Northern America,US,United States,United States,USA,United States Can.,1961,1946-1970
http://www.wikidata.org/entity/Q352870,Joe Rosenthal,1911,male,"Washington, D.C.",POINT (-77.036667 38.895),http://www.wikidata.org/entity/Q61,1911-1920,23,Northern America,US,United States,United States,USA,United States Can.,1956,1946-1970
http://www.wikidata.org/entity/Q4795029,Arnold Edmund Samuelson,1917,male,Tacoma,POINT (-122.4475 47.2525),http://www.wikidata.org/entity/Q199797,1911-1920,23,Northern America,US,United States,United States,USA,United States Can.,1962,1946-1970
http://www.wikidata.org/entity/Q1230935,Vsevolod Kochetov,1912,male,Veliky Novgorod,POINT (31.27579 58.52099),http://www.wikidata.org/entity/Q2235,1911-1920,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Fed. Belarus,1957,1946-1970
http://www.wikidata.org/entity/Q76655843,Francis Hallawell,1912,male,Porto Alegre,POINT (-51.23 -30.032778),http://www.wikidata.org/entity/Q40269,1911-1920,15,South America,BR,Brasil,Brazil,BRA,Global South,1957,1946-1970
http://www.wikidata.org/entity/Q74596,Thaddäus Troll,1914,male,Bad Cannstatt,POINT (9.2141 48.8056),http://www.wikidata.org/entity/Q656982,1911-1920,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1959,1946-1970
http://www.wikidata.org/entity/Q2630812,Qaysin Quli,1917,male,Verkhne-Chegemskoye rural community,POINT (43.137222 43.241111),http://www.wikidata.org/entity/Q16629870,1911-1920,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Fed. Belarus,1962,1946-1970
http://www.wikidata.org/entity/Q7358662,Roger Mirams,1918,male,Christchurch,POINT (172.636111 -43.531111),http://www.wikidata.org/entity/Q79990,1911-1920,2,Australia/New Zealand,NZ,New Zealand-Aotearoa,New Zealand,NZL,Asia-Pacific,1963,1946-1970
http://www.wikidata.org/entity/Q124535829,Lorraine Stumm,1914,female,Charters Towers,POINT (146.260278 -20.073056),http://www.wikidata.org/entity/Q1020266,1911-1920,2,Australia/New Zealand,AU,Australia,Australia,AUS,Asia-Pacific,1959,1946-1970
http://www.wikidata.org/entity/Q25927242,Eric Borchert,1911,male,Chernyakhovsk,POINT (21.816667 54.633333),http://www.wikidata.org/entity/Q5655,1911-1920,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Fed. Belarus,1956,1946-1970
http://www.wikidata.org/entity/Q72826,Henri Nannen,1913,male,Emden,POINT (7.206111 53.366944),http://www.wikidata.org/entity/Q4174,1911-1920,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1958,1946-1970
http://www.wikidata.org/entity/Q120716298,Vladimir Michajlovič Rossel‘s,1914,male,Pavlovsky Posad,POINT (38.65 55.783333),http://www.wikidata.org/entity/Q177908,1911-1920,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Fed. Belarus,1959,1946-1970
